ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-01-06,3402.1509896,758.800680225489,5556.947879044655,3402.1509896,3402.1509896,-246.1055050351537,-246.1055050351537,-246.1055050351537,-74.56512301881018,-74.56512301881018,-74.56512301881018,-171.54038201634353,-171.54038201634353,-171.54038201634353,0.0,0.0,0.0,3156.045484564846
2003-01-09,3402.8664151315065,954.8027683302878,5635.967708137078,3402.8664151315065,3402.8664151315065,-64.2267116192458,-64.2267116192458,-64.2267116192458,105.59902379040508,105.59902379040508,105.59902379040508,-169.8257354096509,-169.8257354096509,-169.8257354096509,0.0,0.0,0.0,3338.639703512261
2003-01-10,3403.1048903086753,870.1833458762273,5603.500094000528,3403.1048903086753,3403.1048903086753,-92.38762729414832,-92.38762729414832,-92.38762729414832,75.7744098866172,75.7744098866172,75.7744098866172,-168.1620371807655,-168.1620371807655,-168.1620371807655,0.0,0.0,0.0,3310.717263014527
2003-01-29,3407.6359186748855,1054.6456765243033,5857.200666192007,3407.6359186748855,3407.6359186748855,-2.24550566366913,-2.24550566366913,-2.24550566366913,-84.529600916069,-84.529600916069,-84.529600916069,82.28409525239988,82.28409525239988,82.28409525239988,0.0,0.0,0.0,3405.3904130112164
2003-01-31,3408.1128690292235,1258.9990491233727,5919.834710912272,3408.1128690292235,3408.1128690292235,183.87547509753088,183.87547509753088,183.87547509753088,75.77440988638267,75.77440988638267,75.77440988638267,108.10106521114821,108.10106521114821,108.10106521114821,0.0,0.0,0.0,3591.9883441267543
2003-02-11,3410.7360959780817,1338.3931763308374,6065.027584751631,3410.7360959780817,3410.7360959780817,212.35203434687566,212.35203434687566,212.35203434687566,143.5629330926933,143.5629330926933,143.5629330926933,68.78910125418234,68.78910125418234,68.78910125418234,0.0,0.0,0.0,3623.0881303249575
2003-02-17,3412.1669470410957,952.3243638826275,5715.467134376896,3412.1669470410957,3412.1669470410957,-104.0637518741586,-104.0637518741586,-104.0637518741586,-74.56512301873707,-74.56512301873707,-74.56512301873707,-29.498628855421526,-29.498628855421526,-29.498628855421526,0.0,0.0,0.0,3308.103195166937
2003-02-24,3413.8362732812784,829.5532487154525,5580.999014387908,3413.8362732812784,3413.8362732812784,-149.14750630852626,-149.14750630852626,-149.14750630852626,-74.56512301930952,-74.56512301930952,-74.56512301930952,-74.58238328921675,-74.58238328921675,-74.58238328921675,0.0,0.0,0.0,3264.688766972752
2003-03-03,3415.5055995214607,1058.7087224083668,5794.9102805802695,3415.5055995214607,3415.5055995214607,-73.14880104329153,-73.14880104329153,-73.14880104329153,-74.56512301925767,-74.56512301925767,-74.56512301925767,1.416321975966146,1.416321975966146,1.416321975966146,0.0,0.0,0.0,3342.3567984781694
2003-03-10,3417.1749283472427,1040.5189222547149,5835.768601705593,3417.1749283472427,3417.1749283472427,23.655395694907778,23.655395694907778,23.655395694907778,-74.56512301910924,-74.56512301910924,-74.56512301910924,98.22051871401702,98.22051871401702,98.22051871401702,0.0,0.0,0.0,3440.8303240421506
2003-03-18,3419.0827327195643,1319.2381600228794,5942.738113053428,3419.0827327195643,3419.0827327195643,223.41041067305414,223.41041067305414,223.41041067305414,143.56293309269896,143.56293309269896,143.56293309269896,79.8474775803552,79.8474775803552,79.8474775803552,0.0,0.0,0.0,3642.4931433926185
2003-03-24,3420.5135859988054,1108.1220338651194,5700.398779705478,3420.5135859988054,3420.5135859988054,-71.28400416534947,-71.28400416534947,-71.28400416534947,-74.56512301917283,-74.56512301917283,-74.56512301917283,3.281118853823372,3.281118853823372,3.281118853823372,0.0,0.0,0.0,3349.229581833456
2003-03-25,3420.7520615453454,1192.2580352786104,5791.776666973891,3420.7520615453454,3420.7520615453454,137.28659836588136,137.28659836588136,137.28659836588136,143.5629330926311,143.5629330926311,143.5629330926311,-6.276334726749741,-6.276334726749741,-6.276334726749741,0.0,0.0,0.0,3558.0386599112267
2003-03-26,3420.990537091886,1117.7194527008057,5783.80492348897,3420.990537091886,3420.990537091886,-97.89955988639407,-97.89955988639407,-97.89955988639407,-84.52960091634894,-84.52960091634894,-84.52960091634894,-13.369958970045131,-13.369958970045131,-13.369958970045131,0.0,0.0,0.0,3323.090977205492
2003-04-01,3422.4213903711275,1333.3436863283425,5918.428666492841,3422.4213903711275,3422.4213903711275,162.71658885469787,162.71658885469787,162.71658885469787,143.56293309262,143.56293309262,143.56293309262,19.153655762077882,19.153655762077882,19.153655762077882,0.0,0.0,0.0,3585.1379792258253
2003-04-04,3423.1368170107476,1354.7591573287361,5859.8047790991495,3423.1368170107476,3423.1368170107476,166.64269907572233,166.64269907572233,166.64269907572233,75.77440988689209,75.77440988689209,75.77440988689209,90.86828918883025,90.86828918883025,90.86828918883025,0.0,0.0,0.0,3589.77951608647
2003-04-11,3424.8061458365296,1685.6348640922504,6311.589181182819,3424.8061458365296,3424.8061458365296,421.2966629888406,421.2966629888406,421.2966629888406,75.77440988698375,75.77440988698375,75.77440988698375,345.52225310185685,345.52225310185685,345.52225310185685,0.0,0.0,0.0,3846.10280882537
2003-04-16,3425.99852356923,1511.7453897233338,6258.645134613932,3425.99852356923,3425.99852356923,410.609063076381,410.609063076381,410.609063076381,-84.52960091606734,-84.52960091606734,-84.52960091606734,495.13866399244824,495.13866399244824,495.13866399244824,0.0,0.0,0.0,3836.6075866456113
2003-04-21,3427.1909013019317,1489.528802684909,6247.868923395511,3427.1909013019317,3427.1909013019317,446.48655323418313,446.48655323418313,446.48655323418313,-74.56512301893957,-74.56512301893957,-74.56512301893957,521.0516762531227,521.0516762531227,521.0516762531227,0.0,0.0,0.0,3873.677454536115
2003-04-28,3428.8602301277133,1309.0483383872493,6065.12908324161,3428.8602301277133,3428.8602301277133,247.70248859082318,247.70248859082318,247.70248859082318,-74.5651230188877,-74.5651230188877,-74.5651230188877,322.2676116097109,322.2676116097109,322.2676116097109,0.0,0.0,0.0,3676.5627187185364
2003-04-29,3429.0987056742533,1526.563352079011,6058.299083832698,3429.0987056742533,3429.0987056742533,422.98964061000095,422.98964061000095,422.98964061000095,143.56293309257777,143.56293309257777,143.56293309257777,279.4267075174232,279.4267075174232,279.4267075174232,0.0,0.0,0.0,3852.0883462842544
2003-05-07,3431.006509728621,838.466669233488,5705.514813799837,3431.006509728621,3431.006509728621,-115.01969289849156,-115.01969289849156,-115.01969289849156,-84.52960091619441,-84.52960091619441,-84.52960091619441,-30.49009198229714,-30.49009198229714,-30.49009198229714,0.0,0.0,0.0,3315.9868168301296
2003-05-08,3431.2449852354175,1225.973331359267,5975.019345045033,3431.2449852354175,3431.2449852354175,52.368006906037806,52.368006906037806,52.368006906037806,105.5990237905184,105.5990237905184,105.5990237905184,-53.23101688448059,-53.23101688448059,-53.23101688448059,0.0,0.0,0.0,3483.6129921414554
2003-05-20,3434.10669131697,1328.1177226558864,5922.734915771583,3434.10669131697,3434.10669131697,198.25952443357542,198.25952443357542,198.25952443357542,143.5629330926056,143.5629330926056,143.5629330926056,54.69659134096981,54.69659134096981,54.69659134096981,0.0,0.0,0.0,3632.366215750545
2003-05-21,3434.3451668237653,1148.2143297269122,5899.436627253576,3434.3451668237653,3434.3451668237653,-4.206997675241808,-4.206997675241808,-4.206997675241808,-84.5296009160214,-84.5296009160214,-84.5296009160214,80.32260324077959,80.32260324077959,80.32260324077959,0.0,0.0,0.0,3430.1381691485235
2003-05-28,3436.0144953713375,1147.854311852771,5870.389960185392,3436.0144953713375,3436.0144953713375,99.89909528479507,99.89909528479507,99.89909528479507,-84.52960091632147,-84.52960091632147,-84.52960091632147,184.42869620111654,184.42869620111654,184.42869620111654,0.0,0.0,0.0,3535.9135906561323
2003-06-03,3437.4453484121136,1557.546981682123,5823.426167688349,3437.4453484121136,3437.4453484121136,231.88698595998514,231.88698595998514,231.88698595998514,143.5629330926991,143.5629330926991,143.5629330926991,88.32405286728606,88.32405286728606,88.32405286728606,0.0,0.0,0.0,3669.3323343720986
2003-06-06,3438.1607749325017,1154.923104751137,5859.006808440709,3438.1607749325017,3438.1607749325017,60.10512447048221,60.10512447048221,60.10512447048221,75.77440988722199,75.77440988722199,75.77440988722199,-15.669285416739786,-15.669285416739786,-15.669285416739786,0.0,0.0,0.0,3498.265899402984
2003-06-12,3439.591627973278,845.0209583124596,5653.679160249143,3439.591627973278,3439.591627973278,-131.61656519861342,-131.61656519861342,-131.61656519861342,105.59902379059902,105.59902379059902,105.59902379059902,-237.21558898921242,-237.21558898921242,-237.21558898921242,0.0,0.0,0.0,3307.9750627746644
2003-06-16,3440.5455236527396,685.8117809361056,5485.319607630968,3440.5455236527396,3440.5455236527396,-395.7060918831684,-395.7060918831684,-395.7060918831684,-74.56512301893004,-74.56512301893004,-74.56512301893004,-321.1409688642384,-321.1409688642384,-321.1409688642384,0.0,0.0,0.0,3044.839431769571
2003-06-27,3443.168736771259,1063.1719378281048,5683.122989959846,3443.168736771259,3443.168736771259,-17.285418101431578,-17.285418101431578,-17.285418101431578,75.77440988629851,75.77440988629851,75.77440988629851,-93.0598279877301,-93.0598279877301,-93.0598279877301,0.0,0.0,0.0,3425.883318669827
2003-07-01,3444.12263245072,1369.457917067303,6241.04123807098,3444.12263245072,3444.12263245072,222.7687977475834,222.7687977475834,222.7687977475834,143.5629330926569,143.5629330926569,143.5629330926569,79.20586465492653,79.20586465492653,79.20586465492653,0.0,0.0,0.0,3666.8914301983036
2003-07-02,3444.3611063705857,1128.434897702847,5654.665166764117,3444.3611063705857,3444.3611063705857,34.615032492550064,34.615032492550064,34.615032492550064,-84.52960091627553,-84.52960091627553,-84.52960091627553,119.14463340882557,119.14463340882557,119.14463340882557,0.0,0.0,0.0,3478.976138863136
2003-07-04,3444.838054210317,1289.283878752377,6123.325246879126,3444.838054210317,3444.838054210317,265.5402300598819,265.5402300598819,265.5402300598819,75.77440988656969,75.77440988656969,75.77440988656969,189.7658201733122,189.7658201733122,189.7658201733122,0.0,0.0,0.0,3710.3782842701985
2003-07-10,3446.268897729509,1457.6893001994072,6228.736439897292,3446.268897729509,3446.268897729509,396.68312401013657,396.68312401013657,396.68312401013657,105.59902379034193,105.59902379034193,105.59902379034193,291.0841002197946,291.0841002197946,291.0841002197946,0.0,0.0,0.0,3842.9520217396453
2003-07-16,3447.6997412487017,1360.437782721772,5874.502041297072,3447.6997412487017,3447.6997412487017,128.33235088112454,128.33235088112454,128.33235088112454,-84.52960091609147,-84.52960091609147,-84.52960091609147,212.861951797216,212.861951797216,212.861951797216,0.0,0.0,0.0,3576.032092129826
2003-07-24,3449.6075326076248,1326.9271612022962,5940.988184465722,3449.6075326076248,3449.6075326076248,89.60305244147477,89.60305244147477,89.60305244147477,105.59902379021338,105.59902379021338,105.59902379021338,-15.995971348738603,-15.995971348738603,-15.995971348738603,0.0,0.0,0.0,3539.2105850490993
2003-08-01,3451.5153239665483,942.7953079215081,5844.14597246202,3451.5153239665483,3451.5153239665483,-71.86388254625403,-71.86388254625403,-71.86388254625403,75.77440988642682,75.77440988642682,75.77440988642682,-147.63829243268086,-147.63829243268086,-147.63829243268086,0.0,0.0,0.0,3379.6514414202943
2003-08-08,3453.184641405606,947.6749902419723,5778.680297208302,3453.184641405606,3453.184641405606,-68.39173421092336,-68.39173421092336,-68.39173421092336,75.77440988651846,75.77440988651846,75.77440988651846,-144.16614409744182,-144.16614409744182,-144.16614409744182,0.0,0.0,0.0,3384.7929071946824
2003-08-10,3453.6615801352123,1020.6596155389019,5482.869731954655,3453.6615801352123,3453.6615801352123,-189.1781989116636,-189.1781989116636,-189.1781989116636,-53.553261748093036,-53.553261748093036,-53.553261748093036,-135.62493716357054,-135.62493716357054,-135.62493716357054,0.0,0.0,0.0,3264.483381223549
2003-08-13,3454.376988229621,1060.7779360578206,5706.82996981098,3454.376988229621,3454.376988229621,-209.71718310637488,-209.71718310637488,-209.71718310637488,-84.529600916121,-84.529600916121,-84.529600916121,-125.1875821902539,-125.1875821902539,-125.1875821902539,0.0,0.0,0.0,3244.6598051232463
